DATE,Rate_Doctoral
1/1/2000,1.4
2/1/2000,1.4
3/1/2000,0.9
4/1/2000,0.6
5/1/2000,0.8
6/1/2000,0.7
7/1/2000,0.7
8/1/2000,1.3
9/1/2000,0.7
10/1/2000,0.5
11/1/2000,0.9
12/1/2000,0.7
1/1/2001,0.4
2/1/2001,0.3
3/1/2001,0.7
4/1/2001,0.6
5/1/2001,0.9
6/1/2001,1.1
7/1/2001,1.6
8/1/2001,1.9
9/1/2001,1
10/1/2001,1.4
11/1/2001,1.3
12/1/2001,1.6
1/1/2002,1.6
2/1/2002,1.9
3/1/2002,1.6
4/1/2002,1.6
5/1/2002,2
6/1/2002,1.2
7/1/2002,1.6
8/1/2002,1.4
9/1/2002,1.7
10/1/2002,1.3
11/1/2002,1.3
12/1/2002,2.1
1/1/2003,1.7
2/1/2003,1.6
3/1/2003,2.6
4/1/2003,1.6
5/1/2003,1.8
6/1/2003,2
7/1/2003,2.1
8/1/2003,1.9
9/1/2003,3.1
10/1/2003,3.1
11/1/2003,2.3
12/1/2003,1.4
1/1/2004,1.9
2/1/2004,1.6
3/1/2004,2.2
4/1/2004,2.1
5/1/2004,1.8
6/1/2004,2.2
7/1/2004,2.1
8/1/2004,2
9/1/2004,1.8
10/1/2004,1.2
11/1/2004,1.5
12/1/2004,1.8
1/1/2005,1.6
2/1/2005,2.1
3/1/2005,1.4
4/1/2005,2.2
5/1/2005,2
6/1/2005,2.5
7/1/2005,1.3
8/1/2005,0.9
9/1/2005,1.6
10/1/2005,0.9
11/1/2005,1.5
12/1/2005,1.7
1/1/2006,1.8
2/1/2006,1.4
3/1/2006,1.5
4/1/2006,1.2
5/1/2006,1.3
6/1/2006,1.7
7/1/2006,1.3
8/1/2006,1.4
9/1/2006,1.2
10/1/2006,1.2
11/1/2006,1.4
12/1/2006,1.1
1/1/2007,1.3
2/1/2007,1.3
3/1/2007,0.6
4/1/2007,0.9
5/1/2007,0.5
6/1/2007,1.3
7/1/2007,1.2
8/1/2007,1.4
9/1/2007,1.7
10/1/2007,1.7
11/1/2007,2.5
12/1/2007,2.2
1/1/2008,1.7
2/1/2008,1.8
3/1/2008,1.7
4/1/2008,1.5
5/1/2008,1.7
6/1/2008,2
7/1/2008,2.4
8/1/2008,2.3
9/1/2008,2
10/1/2008,2.6
11/1/2008,2.4
12/1/2008,2.1
1/1/2009,2.6
2/1/2009,2
3/1/2009,1.8
4/1/2009,1.7
5/1/2009,2.7
6/1/2009,3.5
7/1/2009,3.6
8/1/2009,2.2
9/1/2009,2.8
10/1/2009,2
11/1/2009,2
12/1/2009,2.7
1/1/2010,1.9
2/1/2010,1.2
3/1/2010,1.4
4/1/2010,1.3
5/1/2010,1.5
6/1/2010,1.3
7/1/2010,1.9
8/1/2010,2.3
9/1/2010,2.8
10/1/2010,2
11/1/2010,2.5
12/1/2010,3.2
1/1/2011,2.6
2/1/2011,2.6
3/1/2011,2.7
4/1/2011,2
5/1/2011,1.7
6/1/2011,2
7/1/2011,2.3
8/1/2011,1.9
9/1/2011,2.1
10/1/2011,3.3
11/1/2011,3.2
12/1/2011,3.5
1/1/2012,3.4
2/1/2012,3.1
3/1/2012,2.5
4/1/2012,2.1
5/1/2012,2.5
6/1/2012,2.6
7/1/2012,2.7
8/1/2012,2.8
9/1/2012,2.3
10/1/2012,2.2
11/1/2012,2.1
12/1/2012,2
1/1/2013,2.7
2/1/2013,2.5
3/1/2013,1.9
4/1/2013,1.8
5/1/2013,1.9
6/1/2013,2.1
7/1/2013,3.3
8/1/2013,2.5
9/1/2013,2
10/1/2013,2.5
11/1/2013,1.4
12/1/2013,1.4
1/1/2014,1.7
2/1/2014,2.4
3/1/2014,2.4
4/1/2014,1.6
5/1/2014,2.3
6/1/2014,2.8
7/1/2014,1.8
8/1/2014,2.5
9/1/2014,1.5
10/1/2014,1.7
11/1/2014,2.2
12/1/2014,1.9
1/1/2015,1.8
2/1/2015,2
3/1/2015,1.7
4/1/2015,2
5/1/2015,1.6
6/1/2015,2.1
7/1/2015,1.6
8/1/2015,1.4
9/1/2015,2.1
10/1/2015,1.6
11/1/2015,1.4
12/1/2015,1.6
1/1/2016,1.3
2/1/2016,1
3/1/2016,1.6
4/1/2016,1.6
5/1/2016,2.1
6/1/2016,1.4
7/1/2016,2
8/1/2016,2.1
9/1/2016,1.5
10/1/2016,2
11/1/2016,1.2
12/1/2016,1.9
1/1/2017,1.2
2/1/2017,2.1
3/1/2017,1.4
4/1/2017,0.8
5/1/2017,0.7
6/1/2017,0.9
7/1/2017,1.7
8/1/2017,2.4
9/1/2017,1.5
10/1/2017,1.8
11/1/2017,1.4
12/1/2017,1.6
1/1/2018,1.5
2/1/2018,2
3/1/2018,2.2
4/1/2018,1.5
5/1/2018,1.6
6/1/2018,1.9
7/1/2018,1.6
8/1/2018,1.8
9/1/2018,1.6
10/1/2018,1
11/1/2018,0.9
12/1/2018,1.3
1/1/2019,1.3
2/1/2019,1.4
3/1/2019,1.1
4/1/2019,0.9
5/1/2019,1
6/1/2019,1.2
7/1/2019,0.9
8/1/2019,1.6
9/1/2019,0.9
10/1/2019,0.6
11/1/2019,1.1
12/1/2019,1.1
1/1/2020,0.9
2/1/2020,1.2
3/1/2020,1.9
4/1/2020,3.2
5/1/2020,3.5
6/1/2020,4.5
7/1/2020,3.6
8/1/2020,3.7
9/1/2020,2
10/1/2020,1.9
11/1/2020,1.9
12/1/2020,1.4
1/1/2021,2.3
2/1/2021,1.6
3/1/2021,1.6
4/1/2021,1.2
5/1/2021,1.4
6/1/2021,2.8
7/1/2021,1.2
8/1/2021,1.7
