<<<<<<< HEAD
DATE,Rate (White)
=======
DATE,WHITE
>>>>>>> main
1/1/2000,3.4
2/1/2000,3.6
3/1/2000,3.5
4/1/2000,3.4
5/1/2000,3.5
6/1/2000,3.4
7/1/2000,3.5
8/1/2000,3.6
9/1/2000,3.5
10/1/2000,3.4
11/1/2000,3.5
12/1/2000,3.5
1/1/2001,3.6
2/1/2001,3.7
3/1/2001,3.7
4/1/2001,3.9
5/1/2001,3.8
6/1/2001,4
7/1/2001,4
8/1/2001,4.3
9/1/2001,4.3
10/1/2001,4.7
11/1/2001,4.9
12/1/2001,5.1
1/1/2002,5.1
2/1/2002,5
3/1/2002,5
4/1/2002,5.2
5/1/2002,5.1
6/1/2002,5.1
7/1/2002,5.2
8/1/2002,5.1
9/1/2002,5.1
10/1/2002,5.1
11/1/2002,5.1
12/1/2002,5.1
1/1/2003,5.2
2/1/2003,5.1
3/1/2003,5.1
4/1/2003,5.3
5/1/2003,5.4
6/1/2003,5.5
7/1/2003,5.4
8/1/2003,5.4
9/1/2003,5.3
10/1/2003,5.1
11/1/2003,5.2
12/1/2003,5
1/1/2004,5
2/1/2004,4.9
3/1/2004,5.1
4/1/2004,5
5/1/2004,4.9
6/1/2004,5
7/1/2004,4.7
8/1/2004,4.7
9/1/2004,4.6
10/1/2004,4.6
11/1/2004,4.6
12/1/2004,4.5
1/1/2005,4.5
2/1/2005,4.6
3/1/2005,4.5
4/1/2005,4.4
5/1/2005,4.4
6/1/2005,4.3
7/1/2005,4.2
8/1/2005,4.2
9/1/2005,4.4
10/1/2005,4.4
11/1/2005,4.3
12/1/2005,4.2
1/1/2006,4.1
2/1/2006,4.1
3/1/2006,4
4/1/2006,4.1
5/1/2006,4.1
6/1/2006,4.1
7/1/2006,4.1
8/1/2006,4.1
9/1/2006,3.9
10/1/2006,3.9
11/1/2006,4
12/1/2006,3.9
1/1/2007,4.2
2/1/2007,4.1
3/1/2007,3.8
4/1/2007,4
5/1/2007,3.9
6/1/2007,4.1
7/1/2007,4.2
8/1/2007,4.2
9/1/2007,4.2
10/1/2007,4.1
11/1/2007,4.2
12/1/2007,4.4
1/1/2008,4.4
2/1/2008,4.4
3/1/2008,4.5
4/1/2008,4.4
5/1/2008,4.8
6/1/2008,5
7/1/2008,5.2
8/1/2008,5.4
9/1/2008,5.4
10/1/2008,5.9
11/1/2008,6.2
12/1/2008,6.7
1/1/2009,7.1
2/1/2009,7.6
3/1/2009,8
4/1/2009,8.1
5/1/2009,8.5
6/1/2009,8.7
7/1/2009,8.7
8/1/2009,8.9
9/1/2009,8.9
10/1/2009,9.2
11/1/2009,9.2
12/1/2009,9
1/1/2010,8.8
2/1/2010,8.9
3/1/2010,8.9
4/1/2010,9
5/1/2010,8.7
6/1/2010,8.6
7/1/2010,8.5
8/1/2010,8.6
9/1/2010,8.6
10/1/2010,8.6
11/1/2010,8.9
12/1/2010,8.5
1/1/2011,8.1
2/1/2011,8.1
3/1/2011,8
4/1/2011,8.1
5/1/2011,7.9
6/1/2011,8.1
7/1/2011,8
